feat	codeword	expressed
VCAN	1110111110000000	1
PRRC2B	1101101111000000	1
SON	0111011111000000	1
SLC7A11	1101111010100000	1
GPR107	1111010110100000	1
KIAA1462	1011110011100000	1
ROCK2	1110101011100000	1
SPTBN1	0110110111100000	1
FLNC	0011101111100000	1
PRPF8	1001011111100000	1
IGF2R	1111011100010000	1
FOSB	1001111110010000	1
UBR5	1011111001010000	1
SVEP1	0110111101010000	1
CBX5	0111101011010000	1
PDS5A	1101011011010000	1
NUMA1	1010101111010000	1
PLXNA1	1110110100110000	1
ALPK2	1011101100110000	1
AFAP1	1111100010110000	1
SPTAN1	1010111010110000	1
DOCK7	1101001110110000	1
NOTCH2	1111001001110000	1
DYNC1H1	0101111001110000	1
ITGA2	1101100101110000	1
PRKDC	0111010101110000	1
GTF3C1	1000111101110000	1
THSD4	1100110011110000	1
PTPN14	1001101011110000	1
LUZP1	0011011011110000	1
AMOTL1	1011000111110000	1
MAN1A2	0001110111110000	1
USP9X	0100101111110000	1
CREBBP	1011111100001000	1
KPNA4	1111110010001000	1
EGFR	0111101110001000	1
ZC3H13	1101011110001000	1
TNRC6A	1111011001001000	1
TPR	1101110101001000	1
COL7A1	1001111011001000	1
ASCC3	1011010111001000	1
USP34	1110001111001000	1
CENPF	0100111111001000	1
KIDINS220	1111001100101000	1
SCUBE3	0101111100101000	1
NRIP1	1110011010101000	1
NUP98	1100110110101000	1
ZFC3H1	1001101110101000	1
FAM208B	0011011110101000	1
RAB3B	1110110001101000	1
AFF4	1011101001101000	1
PRKCA	0011110101101000	1
FLNB	0110101101101000	1
CHD8	1100011101101000	1
ANKRD52	1101001011101000	1
MKI67	0101010111101000	1
DIP2C	1100111100011000	1
SSH1	1101101010011000	1
DNAJC13	0111011010011000	1
B4GALT5	1111000110011000	1
NAV1	0101110110011000	1
EHMT1	1010011110011000	1
CHD6	0111110001011000	1
RAPGEF1	1010110101011000	1
DSEL	0101011101011000	1
PI4KA	1011100011011000	1
TMX4	0110100111011000	1
POGZ	1100010111011000	1
VPS39	1001001111011000	1
CDC42BPA	0111100100111000	1
EIF4EBP2	1101010100111000	1
FAM13B	0010111100111000	1
ZMAT3	0110110010111000	1
MCM3AP	0011101010111000	1
SMARCC2	1001011010111000	1
NPC1	0100011110111000	1
ATP13A1	1001110001111000	1
KRAS	1100101001111000	1
SUGP2	0110011001111000	1
PLD2	1110000101111000	1
SMC6	0100110101111000	1
HPS5	0001101101111000	1
BROX	0101100011111000	1
NOTCH3	1010001011111000	1
SIDT2	0000111011111000	1
FAM198B	1000100111111000	1
SENP5	0010010111111000	1
CLOCK	1111001110000100	1
ARID4A	0101111110000100	1
PIK3CA	0111111001000100	1
blank001	1111100101000100	1
IPO9	1010111101000100	1
WDR48	1110110011000100	1
UNC119B	1011101011000100	1
MAP3K5	0011110111000100	1
LPGAT1	0110101111000100	1
MED14	1100011111000100	1
DCBLD1	1111110000100100	1
TP53BP1	0111101100100100	1
DENND6A	1101011100100100	1
TBCD	0110111010100100	1
EXOC6B	1110100110100100	1
HERC2	1001111001100100	1
