Gene	Codeword
VCAN	00000000010111
PRRC2B	00000010000111
SON	00100000010011
SLC7A11	00100000010110
GPR107	00000000001111
KIAA1462	00100000000111
ROCK2	10000000010110
SPTBN1	00010000010110
FLNC	00000001010101
PRPF8	00000010010011
IGF2R	00000100000111
FOSB	00010000000111
UBR5	00000001010011
SVEP1	01000000010110
CBX5	00010000010101
PDS5A	00000000110110
NUMA1	00000001000111
PLXNA1	01000000010011
ALPK2	00000000011110
AFAP1	00000100010011
SPTAN1	00000010010110
DOCK7	00001000010110
NOTCH2	10000000000111
DYNC1H1	00001000000111
ITGA2	00010000010011
PRKDC	00000100010110
GTF3C1	00000000011101
THSD4	10000000010101
PTPN14	01000000000111
LUZP1	10000000010011
AMOTL1	00001000010011
MAN1A2	01000000010101
USP9X	00001000010101
CREBBP	00000000110101
KPNA4	00000001010110
EGFR	00000010010101
ZC3H13	00000100010101
TNRC6A	00000000011011
TPR	00000000100111
COL7A1	00100000010101
ASCC3	00000000110011
USP34	00000101010010
CENPF	00000010100011
KIDINS220	00100000001101
SCUBE3	00000100100101
NRIP1	00100000001011
NUP98	10000000100110
ZFC3H1	01000010010100
FAM208B	00010100000101
RAB3B	00000101010001
AFF4	00000001110100
PRKCA	00100000011010
FLNB	01000010000101
CHD8	10001000000110
ANKRD52	10000000110100
MKI67	10010000010100
DIP2C	00100000110001
SSH1	00000000111100
DNAJC13	00000011000011
B4GALT5	00100001000110
NAV1	00101000010001
EHMT1	10000000011100
CHD6	11000000010010
RAPGEF1	00000001001110
DSEL	00001100000110
PI4KA	00101000000011
TMX4	00001000011010
POGZ	00010010000110
VPS39	00100100010001
CDC42BPA	00011000010010
EIF4EBP2	00001000001110
FAM13B	00001000110001
ZMAT3	01001000000101
MCM3AP	01100000000011
SMARCC2	00101000000110
NPC1	00110000010001
ATP13A1	10000010010100
KRAS	00100010010001
SUGP2	00001000100110
PLD2	01000000001011
SMC6	10000100010100
HPS5	00000000101011
BROX	00000001011100
NOTCH3	01010000000101
SIDT2	10010000000101
FAM198B	00100001000011
SENP5	00000000111001
CLOCK	00001100000101
ARID4A	00110000000110
PIK3CA	00000100001011
blank001	00000100011100
IPO9	00010000001011
WDR48	00100001010001
UNC119B	00101000010100
MAP3K5	00000100001110
LPGAT1	10010000000110
MED14	00010000011010
DCBLD1	00001100010010
TP53BP1	10000001000110
DENND6A	00000010110010
TBCD	00000010001011
EXOC6B	00000010001110
HERC2	00001001010001
AQR	00011000000101
SLC1A4	00000011010001
CENPJ	00000001001011
TJP2	00000100110001
SCAP	00010000110001
EXO1	00000000101110
REST	01100000000110
BICD2	10000001010100
ARIH1	01001000000110
ZCCHC11	00001100000011
RFX5	00000001110010
NUFIP2	01100000010001
TCEB3	01010000000011
SACS	00000001011010
TRO	00001010010001
ERI1	01000001000011
GTF3C2	00000000111010
PDE7B	00001010000011
GSE1	00000100100011
DIS3L	00100010010010
SESN2	01000000100011
WDR59	00000010100110
RBM26	10000000001101
ATM	00000101000101
H6PD	10010000010010
MPP5	00000110000110
ZCCHC6	01000000110001
OSBPL5	00000010110001
PDS5B	00001001000110
NUP133	10100000010001
SMIM13	10100000010010
PHF20	10000001000101
ADAM17	00100010000011
ST3GAL2	00000100110100
KNTC1	00100000100110
HIPK1	01010000010100
DHX16	10000010010001
PDGFD	00010001010001
KCTD2	01001000010100
ASAP2	10000001000011
TTL	00000010100101
TOPORS	00010001010100
KDM3B	01000100010100
MYCBP2	00000010011100
NSMAF	01010000010001
MPDZ	00101000000101
MMGT1	10000000110010
MED1	10000001010001
UBR1	00100010000110
FOXK2	00000101000110
LRIG3	10000000100011
AGO4	01010000010010
CLSPN	00010001000101
PDPK1	00100000011001
DNAJC18	00001000100011
FAM63B	00001100010001
ADNP	00001001000011
APC	00100001010100
RHOBTB1	10000010000101
MORC3	10001000000101
PLXNA3	00010100000011
NES	10001000000011
ARID1A	00001001010100
HCFC1	01000010000011
C14orf132	00000110010010
YEATS2	11000000000110
LDLR	01000100010001
EHBP1L1	00000101010100
RNF213	00010010000011
NUP205	00000011000101
ITPRIPL2	00110000000011
SIRT1	11000000010001
CRNKL1	00100100000110
NUP153	01000000110100
POLG	10100000000101
MANEA	01001000010001
EHD3	10000010000011
BMPER	10000010010010
blank002	00001000100101
DIAPH1	00000110000101
TUBGCP4	00100000100011
CCDC117	00100000001110
MUT	00011000010100
CDC5L	00010010010001
ELMSAN1	01000000011100
SLC25A44	00011000000011
POMT2	00000001011001
INTS3	01100000000101
NUP214	00010100010100
ZNF252P	00010000100101
SIPA1L3	00000001100011
C16orf72	10000100010010
RYBP	01000010000110
CHML	00100001010010
ADCY6	10010000010001
C2CD5	01000000011001
notarget001	00010000011100
C17orf51	01000000110010
REV1	11000000010100
TAF2	00010100010010
PRKD1	00100001000101
E2F3	01000000100110
ADO	00000101000011
AGGF1	00000100011010
C5orf51	00000001100101
ABCA1	01000000100101
EIF4ENIF1	00000100011001
ZER1	00100000100101
ITPRIP	00000100001101
DMXL1	01100000010010
ZNF521	00001010000110
MCUR1	00001010010010
FAM171B	00011000010001
NUDT3	00010100000110
SRGAP1	00100000110100
EYA3	00000010011010
UBL3	00000100100110
ZNF280D	10000000100101
ARL3	00000010011001
LRRC2	10000100010001
ITGA6	00000011010010
STYX	01000010010010
NF1	00000011000110
JAG1	10000100000110
TOP3A	01000000001101
VPS13A	00010000110010
BOD1L1	10001000010001
NFX1	10100000000110
C18orf25	10000010000110
ZNF160	00000001100110
CCSER2	00001001000101
MAVS	10000000011001
FHOD1	01000100000101
RNF123	00110000010100
DHX38	00101000010010
FAM8A1	00000001001101
NCAPD3	00000110010001
ABCA2	01000100000110
CREBL2	11000000000101
DOCK10	01000001000110
KLF9	00010010010100
DTX4	10000001010010
MARCH4	00100100010010
SEC24B	11000000000011
BAG5	00010000110100
FOXM1	00100010010100
UBE4A	00100000011100
PCNX	00000110000011
ZNF516	01000100000011
DHX8	10000100000101
MEGF8	01010000000110
SBNO1	01000100010010
FNBP1L	00010010000101
LRP5	01000000001110
CES2	00010000001101
SEC16A	10100000010100
IKZF5	00010000100110
ATG16L1	00010000001110
PLCB3	00100100010100
SYNJ2	01000000011010
FAM13A	00000110010100
FAM178A	01000001010100
KIAA0247	00001010000101
MED15	10000000001011
AREL1	10010000000011
ZBTB21	10100000000011
SMURF1	00000100110010
TRPC6	10000000011010
ARHGAP18	00000011010100
blank003	00001000001011
KLF3	00010000011001
TOR4A	01001000000011
COG3	01000001010010
MCM8	00001001010010
FYCO1	00010001010010
SEMA5A	10000100000011
RP11-473I1.10	00001000011100
MTR	01001000010010
SMCR7L	00001000011001
ZFPM2	00100010000101
AMMECR1L	10001000010010
STAT5B	01000001000101
UST	00001000001101
PRDM2	00110000000101
GBF1	00000010110100
AKAP9	10001000010100
CSPP1	00011000000110
GUF1	00000001110001
ATP11A	00100000110010
POLD3	01000001010001
CD2AP	00010001000110
EPC2	00001000110010
BRD3	00001010010100
CDCA2	00000000101101
WDR44	00100100000101
ATF7IP	01000010010001
EVC	00000010001101
CDK5RAP2	10000000110001
NFAT5	00100100000011
KDM4A	01100000010100
TTLL4	00110000010010
AVL9	00010001000011
UBN1	00010100010001
BRWD1	00010000100011
TRIM37	00010010010010
ACSL1	10000000001110
MRAS	00001100010100
REV3L	00001000110100
LRRC8C	00000010111000
LLGL1	00010110000001
KLF13	01100010000100
KIAA0754	10000001001010
DDX60	10000000101100
DMD	00000101001100
LSM3	10100100000100
PCNXL3	00101000100010
ETV5	01001000100100
MLLT6	00110100000010
ARFGEF1	10001000110000
CASC5	00000011001010
AKAP11	01100100000010
CSRNP2	00110010010000
TWISTNB	00100000101100
NOL6	00010101010000
C17orf70	00100110010000
ENTPD7	01010000110000
LSS	10101000000100
FAM129A	01010100010000
MON2	00000001101001
TMEM194A	00000010101001
EXOC2	00110000110000
MCM2	10001100000001
UPF2	00001101000001
LPHN3	01000101000010
KANK1	00001100100100
HERC1	01000110010000
EPHA2	00100100001100
TBC1D16	00000001101100
MIB1	01011000000100
SNX30	00000011100010
MAFG	00101001000100
RASGRF2	10000110000100
MAP7D3	01001001000100
SMG1	01001001000001
USP19	00000110100100
STXBP1	10010001000100
PRDM4	10100001000001
URGCP	00100101000010
FBXO42	00100001001001
TADA2B	10000010001010
PHF13	00000110110000
TUBGCP5	00011010000001
ANKFY1	10101000000001
CTCF	10010001010000
CUL7	01000010100100
NUP155	00100110000010
C11orf30	01000100100010
TCOF1	00010010100100
LARS2	01010000011000
RIPK1	11100000010000
blank004	00000110001010
CEP250	10000010100001
ZNF317	10000100100100
LEMD3	00100000101010
AGO1	00001010001100
TIMELESS	01100001000100
MORC2	10011000010000
LIG4	00110000100100
PIKFYVE	10000100110000
MLLT11	10000000101010
SETD2	10100100000010
YTHDC2	00101000011000
TECPR2	10001000100100
HEXIM1	00100001001100
USP24	00001100100010
AGPS	10001000001100
EEF2K	01001000001010
WWC3	10100000100001
ASPM	00001001011000
RC3H1	01000001110000
KIF13A	01000001001100
NPR2	00100100100100
CEP192	00000101100001
NOL9	01010001010000
SFXN5	11000100010000
ARHGEF9	00100011000001
SPRY4	01000100001100
ULK2	01010100000100
MTMR4	00001010100010
CABIN1	00110001000010
KREMEN1	00100110000001
WDHD1	00001110000100
TSPYL5	01010000100010
USP38	10000010001001
NRDE2	11100000000001
PPRC1	00001010100001
notarget002	10100000011000
RCOR1	11000100000001
ETV3	00100101000100
TOX	10100000001010
INTS1	01001100000100
PARP14	00000110001001
VAT1L	01110000010000
MECOM	01010010010000
IFT122	00011100000001
SOCS4	01001010000100
ZNF512B	10000010110000
C12orf4	11001000010000
PAPD7	00100011010000
SLC35B4	00010011010000
SIN3B	00101001010000
TMEM57	01001010000001
TBC1D8B	00100100011000
LRRC58	00010110010000
ZNF45	00001101000010
FMNL2	00001010011000
RAPGEF6	00100010001001
FOXK1	10000100001010
MYBBP1A	11100000000010
PCMTD2	00010100001100
ITSN2	10100010000001
RPAP1	01110000000100
FTSJD2	10000011000010
SCAF8	10011000000100
FAM53C	00110000001100
UBR3	11000001010000
KIAA0355	01000100001001
ZNF25	10000001001001
HIRA	00011000001100
ARHGEF11	00001000101010
SKIV2L	10000100100010
NRIP3	00000111000001
RNMT	10000001100010
TMEM110	01010100000001
RAB22A	00101000001001
WDFY2	00001110000001
DENND4C	00010010110000
STK10	10000101000001
SV2A	00000110100001
SPRED2	01000100100001
ABCC10	11001000000100
RAI1	00000101001010
MLLT4	00001001110000
MICAL1	10010100000001
UBE4B	10000100001100
USP20	00011100010000
NACC2	00011000001010
DGKZP1	00100000101001
PEX1	00010100110000
CASC7	10010000100001
ARHGAP29	00110001010000
blank005	10000101000010
ZNFX1	01000010001001
VASH1	00110000001010
FAM179B	10010000011000
SOGA1	00010001001010
HMGXB3	00000100101010
ATR	01100000011000
PDCD11	10000011010000
TEX2	00010100001010
CIC	01010001000010
CAD	01001000100010
GDF11	10011000000010
CLN5	01000010001010
CBL	10001000100010
SMO	00011000100100
TPCN1	11000000100001
LRIF1	11000100000100
RPRD1B	00110100010000
C20orf194	00010010001100
ZBED6	01100100010000
PTPN23	10000001110000
CTDP1	10100000100100
HECTD3	00001100110000
NUDT16	10000100001001
C2orf44	01010000001010
INPP5F	00101010000100
SERAC1	01001010010000
AKAP8	00010001100100
LAMA1	00100010110000
MAML2	11000010000010
BDP1	00000110001100
ATXN1L	00010101000010
CHST3	10010000110000
DARS2	10100001010000
MAP3K1	01100000100010
XPO5	00100001100001
ABCC5	00101001000010
TARSL2	11100000000100
CLCN7	10000011000001
GID4	00000010101100
PRKAB2	00000010101010
RBM19	00010100100010
OSBPL2	00001000111000
C2orf49	10100010000100
HEATR6	00010010100001
LRCH2	01010000100001
ASH1L	00010011000001

Gene	Codeword
TSPYL4	01100000001100
ADAMTS15	00000111000100
ZMYND8	01010000100100
ZSWIM6	00010000101001
ZHX3	00100100100010
ARFGEF2	01001010000010
ELF4	00100110000100
ZSCAN29	00001011010000
SENP1	00000101011000
TDRD7	01000100100100
TBC1D9	01000000101010
CRY2	00000001101010
SHC4	01000110000010
FAM168A	01011000000001
ABHD13	01101000000010
SLC30A1	01011000010000
DHX57	00010000101100
AP4E1	00100010001100
ZNF480	10110000000100
CEP170B	00011000100010
RNF169	10010000001010
USPL1	10000000101001
ANKRD50	00000100111000
APH1B	01000011000100
TMOD2	01000001100001
LYRM7	00000110011000
PHRF1	01100100000001
KAT6A	00000011100100
LIG3	00010001110000
KIAA1551	01010000001001
HPS4	00001011000100
LPIN1	01001000100001
C11orf95	00110000001001
WASH5P	10100000110000
BRD1	01001000001100
INTS2	01100001000001
MEGF9	10010000001100
C2CD3	00010010001001
FNIP1	01101000010000
FASN	00011001000001
RRP12	01100000110000
TCF20	00011000001001
BAHD1	11000000100100
CEP170P1	10000100011000
blank006	00010001100010
SLC12A2	00000001111000
KIF16B	10100010000010
USP37	00111000000010
FBXO30	01100000100100
USP6NL	00010010011000
VANGL1	10000110000010
KIAA2026	00100010100100
AHCTF1P1	10000001100001
KCNMA1	01000101000100
TGS1	01110000000010
NOM1	10110000000001
SLC12A7	00010010001010
UBR2	10010001000010
TANGO6	10001001000100
WDR60	10001010000001
FOXJ2	00000101110000
RMND5A	01100010010000
KDM1B	01000001100010
CSPG4	01011000000010
INPP4A	00011010000010
ATP9A	10000010011000
DZIP3	00100000111000
CAPN15	10001100000010
ITGA11	01000000101001
CYFIP2	10001010000010
SUSD5	01001000001001
ZNF654	11001000000001
ZBTB41	00001110000010
RWDD2A	00001001001001
NCOA3	01000010100010
MED23	00001000101100
CSTF2T	00001000101001
SIPA1L2	00100010001010
CYP2U1	00011010000100
HECTD2	10100100000001
SMAD9	00101010000010
HIP1	01010010000001
CDC25A	11010000000001
SERTAD2	00011100000010
NPAT	01010010000010
DPYD	00011000011000
KIAA0753	10010000100010
VPS13C	00010101000100
ZNF592	00111000000001
CLUH	11000010010000
WDR55	01001000011000
ZNF71	11000001000100
CRYBG3	11000000001001
FCHSD2	10010010000010
EFNB2	10100001000010
TMEM260	00110001000100
TTF2	10010100000100
NCKAP5L	10010010000100
notarget003	00101100000100
ZNF652	10000001011000
C10orf118	10001001000001
DGKQ	00000111010000
MKL2	10000001001100
CD109	00001001001010
DIO2	00010011000010
KIF15	00110100000100
GTF3C4	00000011001001
ZNF687	00101000100100
IQSEC1	00011001000100
TRIM14	00011010010000
PIK3R1	11000000011000
RHOBTB2	01100100000100
ZNF776	00100100110000
CTPS2	00101010010000
PRMT10	01100001010000
LTBP2	01001100000010
SLC9A6	10101000000010
TBC1D13	00010001001100
QTRTD1	00001011000001
TRIM35	01101000000001
SIN3A	01000100011000
ZBTB6	00000101100010
QSER1	00100010100001
FEM1C	01000000111000
PLEKHG3	00001100001100
FBXO45	00100100001001
GPR180	11010000000010
SPICE1	00010000101010
ANKRD32	00010011000100
SNIP1	10010001000001
NSD1	00110000011000
GIGYF1	00010001001001
DTX3L	01010000001100
