cell	feat	expr_ev	expr_sd	expr_map	expr_ci_lower	expr_ci_upper	expr_naive
39	UBR1	1.07	1.4878	0	0	19	0
39	BRWD1	2.98	2.1444	1	0	10	2
39	PLXNA1	2.97	2.1377	1	0	10	2
39	PI4KA	2.99	2.1511	1	0	10	2
39	NUP205	1.07	1.4877	0	0	19	0
39	FAM212B	2.97	2.1378	1	0	10	2
39	TBC1D12	1.07	1.4878	0	0	19	0
39	PDPK1	1.07	1.4930	0	0	19	0
39	OSBPL2	4.89	2.6398	3	0	10	4
39	PDCD11	6.76	3.0469	5	1	13	6
39	ANKRD52	1.07	1.4878	0	0	19	0
39	DIAPH1	1.07	1.4878	0	0	19	0
39	STARD9	1.07	1.4879	0	0	19	0
39	CCSAP	1.07	1.4878	0	0	19	0
39	DDX60L	1.07	1.4878	0	0	19	0
39	COG3	1.07	1.4877	0	0	19	0
39	PRRC2B	1.07	1.4878	0	0	19	0
39	BRD1	1.07	1.4879	0	0	19	0
39	EIF4ENIF1	1.07	1.4930	0	0	19	0
39	DGKQ	2.97	2.1378	1	0	10	2
39	KLHL15	1.07	1.4930	0	0	19	0
39	SLC7A11	1.07	1.4878	0	0	19	0
39	FCHSD2	1.07	1.4929	0	0	19	0
39	RAI1	1.08	1.4981	0	0	19	0
39	NAV1	1.07	1.4879	0	0	19	0
39	TMOD2	1.07	1.4877	0	0	19	0
39	CRNKL1	1.07	1.4930	0	0	19	0
39	WDR81	1.07	1.4877	0	0	19	0
39	SACS	1.07	1.4879	0	0	19	0
39	TONSL	1.07	1.4878	0	0	19	0
39	AGO4	2.97	2.1379	1	0	10	2
39	SMAD9	2.98	2.1445	1	0	10	2
39	HMCN1	1.07	1.4878	0	0	19	0
39	INTS2	1.07	1.4877	0	0	19	0
39	FOSB	2.97	2.1379	1	0	10	2
39	FYCO1	1.07	1.4929	0	0	19	0
39	VCPIP1	1.08	1.4981	0	0	19	0
39	JARID2	1.08	1.4982	0	0	19	0
39	UBN1	1.07	1.4877	0	0	19	0
39	DSP	1.07	1.4878	0	0	19	0
39	PCMTD2	1.08	1.4981	0	0	19	0
39	MAP7D3	1.07	1.4878	0	0	19	0
39	FAM171A1	2.99	2.1511	1	0	10	2
39	DNAH5	1.07	1.4929	0	0	19	0
39	SALL2	1.07	1.4929	0	0	19	0
39	DHX57	1.07	1.4930	0	0	19	0
39	RHOBTB1	1.07	1.4877	0	0	19	0
39	SWT1	1.07	1.4929	0	0	19	0
39	PIKFYVE	4.86	2.6319	3	0	10	4
39	JRK	1.08	1.4981	0	0	19	0
39	TMEM110	1.07	1.4877	0	0	19	0
39	SON	8.66	3.4118	7	2	15	8
39	NRIP1	1.08	1.4981	0	0	19	0
39	MED23	1.08	1.4981	0	0	19	0
39	TP53BP1	1.07	1.4929	0	0	19	0
39	WDHD1	1.07	1.4929	0	0	19	0
39	PARP14	1.07	1.4929	0	0	19	0
39	COL11A1	1.08	1.4980	0	0	19	0
39	ABCA1	1.07	1.4928	0	0	19	0
39	UBR3	1.07	1.4877	0	0	19	0
39	LPIN1	2.98	2.1444	1	0	10	2
39	HIP1R	1.07	1.4929	0	0	19	0
39	WDR7	1.07	1.4878	0	0	19	0
39	CEP170B	1.07	1.4930	0	0	19	0
39	SUGP2	1.07	1.4930	0	0	19	0
