cell	feat	expr_map	expr_ci_lower	expr_ci_upper	expr_naive
1	DIP2B	2	1	5	2
1	FRY	0	0	2	0
1	USP9X	2	0	5	2
1	AKAP11	0	0	2	0
1	SLC5A3	0	0	2	0
1	LUZP1	7	4	11	7
1	TMOD2	0	0	2	0
1	MED14	0	0	2	0
1	SON	9	6	14	10
1	EGFR	1	0	4	1
1	THSD4	3	1	7	4
1	SLC7A11	2	0	5	2
1	ROCK2	14	10	20	15
1	KIAA2018	0	0	2	0
1	SIPA1L3	3	2	7	4
1	NKTR	0	0	2	0
1	IQGAP1	21	16	27	21
1	CACNA1A	0	0	2	0
1	IGF2R	14	11	20	15
1	MYH10	32	26	39	32
1	FAM208B	5	2	8	5
1	CBX5	17	13	23	17
1	KIAA1147	1	0	4	1
1	USP24	3	1	7	4
1	PDS5A	2	0	5	2
1	STARD9	0	0	2	0
1	PTPN14	10	6	14	10
1	SPTBN1	11	8	16	11
1	RAB3B	6	3	10	6
1	COL7A1	5	2	8	5
1	FASN	0	0	2	0
1	PLXNA1	2	1	5	2
1	HIVEP2	0	0	2	0
1	UBR5	8	5	13	9
1	HELZ2	0	0	2	0
1	TLN1	76	67	87	77
1	NUP98	1	0	4	1
1	VPS13A	0	0	2	0
1	DIEXF	0	0	2	0
1	DSEL	1	0	4	1
1	BRCA2	0	0	2	0
1	PAPPA	3	1	7	4
1	PCNX	6	3	10	6
1	SMARCA5	7	4	11	7
1	CBL	0	0	2	0
1	AMOTL1	7	4	11	7
1	COL5A1	26	20	33	26
1	C17orf51	0	0	2	0
1	USP34	5	2	8	5
1	CHD8	3	1	7	4
1	VPS13D	1	0	4	1
1	PRPF8	42	35	50	42
1	FOSB	2	0	5	2
1	ALPK2	2	0	5	2
1	HEATR5B	0	0	2	0
1	DNAJC13	6	3	10	6
1	PIK3CA	1	0	4	1
1	H6PD	1	0	4	1
1	LMTK2	1	0	4	1
1	ASCC3	0	0	2	0
1	ATP11A	0	0	2	0
1	QSER1	0	0	2	0
1	GTF3C1	3	2	7	4
1	AFF4	5	2	8	5
1	ZC3H13	1	0	4	1
1	ABCA2	2	0	5	2
1	ALMS1	1	0	4	1
1	FBN2	16	12	22	16
1	KPNA4	0	0	2	0
1	TNRC6A	5	2	8	5
1	SRRM2	33	27	41	34
1	LRP1	23	18	30	24
1	KIDINS220	0	0	2	0
1	PHIP	2	1	5	2
1	NF1	0	0	2	0
1	FZD4	0	0	2	0
1	CKAP5	17	13	23	17
1	DYNC1H1	17	13	23	17
1	NRIP1	5	2	8	5
1	REV3L	0	0	2	0
1	PIEZO1	7	4	11	8
1	FBN1	8	5	13	9
1	GPR107	9	6	14	10
1	HERC2	3	2	7	4
1	SPTAN1	20	15	26	20
1	VCAN	13	9	19	14
1	CENPF	5	2	8	5
1	ZFC3H1	0	0	2	0
1	AFAP1	11	7	16	11
1	UBR2	2	1	5	2
1	C14orf132	2	0	5	2
1	TNC	27	21	34	27
1	ANKRD52	14	11	20	15
1	PRRC2B	2	0	5	2
1	DIP2C	5	3	9	5
1	ZKSCAN2	0	0	2	0
1	SVEP1	2	0	5	2
1	RNF169	1	0	4	1
1	ARL10	0	0	2	0
1	THBS1	499	475	524	504
1	TEAD1	21	16	27	21
1	DOCK7	1	0	4	1
1	HIVEP1	0	0	2	0
1	SLC38A1	10	6	14	10
1	DOPEY1	0	0	2	0
1	NOTCH2	2	0	5	2
1	CEP250	6	3	10	6
1	GTF3C4	0	0	2	0
1	MALAT1	1	0	4	1
1	FLNB	1	0	4	1
1	AGPS	2	0	5	2
1	FLNC	32	26	39	32
1	KIAA1199	7	4	11	7
1	PRKCA	12	9	17	12
1	SCUBE3	2	0	5	3
1	SSH1	7	5	12	7
1	CASC5	1	0	4	1
1	TPR	13	10	19	14
1	LYST	0	0	2	0
1	ITGA2	1	0	4	1
1	NUMA1	0	0	2	0
1	CREBBP	6	3	10	6
1	KIAA1462	8	5	13	9
1	MAN1A2	0	0	2	0
1	PRKDC	5	2	8	5
1	FLNA	255	239	274	257
1	POLQ	0	0	2	0
1	NR4A1	8	5	13	9
1	FYCO1	5	2	8	5
1	MKI67	24	19	31	25
45	THBS1	688	660	718	697
45	ATP11A	6	3	10	6
45	IGF2R	7	4	11	7
45	FOSB	13	9	19	14
45	FASN	6	3	10	6
45	TMOD2	0	0	2	0
45	LRP1	19	14	25	20
45	HIVEP1	0	0	2	0
45	SRRM2	48	40	57	49
45	QSER1	0	0	2	0
45	ZC3H13	6	3	10	6
45	MYH10	35	29	43	36
45	ABCA2	1	0	4	1
45	AGPS	1	0	4	1
45	NOTCH2	4	2	8	5
45	NUMA1	4	2	8	5
45	ZKSCAN2	1	0	4	1
45	SVEP1	6	3	10	6
45	FYCO1	2	1	5	2
45	LYST	0	0	2	0
45	THSD4	8	5	13	9
45	FAM208B	5	2	8	5
45	SIPA1L3	28	22	35	29
45	COL7A1	1	0	4	1
45	MAN1A2	0	0	2	0
45	RAB3B	7	4	11	7
45	CREBBP	11	7	16	11
45	PRPF8	71	62	82	72
45	NF1	4	2	8	5
45	MALAT1	12	8	17	12
45	PIK3CA	1	0	4	1
45	H6PD	0	0	2	0
45	FZD4	0	0	2	0
45	POLQ	0	0	2	0
45	C14orf132	2	0	5	2
45	PRRC2B	17	12	23	17
45	HEATR5B	0	0	2	0
45	PRKDC	9	6	14	10
45	HERC2	7	4	11	7
45	TLN1	144	131	158	145
45	HELZ2	2	1	5	2
45	NR4A1	6	3	10	6
45	CENPF	2	0	5	2
45	TPR	11	7	16	11
45	KPNA4	1	0	4	1
45	SPTBN1	14	11	20	15
45	STARD9	0	0	2	0
45	VPS13D	0	0	2	0
45	SLC7A11	3	1	7	4
45	PLXNA1	3	1	7	4
45	KIAA2018	2	0	5	2
45	UBR2	0	0	2	0
45	FLNA	495	471	521	501
45	KIDINS220	5	2	8	5
45	DYNC1H1	42	35	50	42
45	DOCK7	4	2	8	5
45	DIP2C	10	6	14	10
45	CKAP5	11	7	16	11
45	AFAP1	19	15	26	20
45	ASCC3	1	0	4	1
45	SLC5A3	1	0	4	1
45	LMTK2	1	0	4	1
45	PCNX	1	0	4	1
45	PDS5A	3	1	7	4
45	NRIP1	3	1	7	4
45	GPR107	13	9	19	14
45	TNRC6A	3	1	7	4
45	TNC	11	7	16	11
45	SSH1	9	6	14	10
45	IQGAP1	37	30	45	37
45	AMOTL1	11	7	16	11
45	NKTR	4	2	8	5
45	SON	17	13	23	17
