cell	feat	expr_map	expr_ci_lower	expr_ci_upper
42	FBN1	22	14	35
42	PRPF8	35	25	51
42	DYNC1H1	6	3	16
42	SLC38A1	8	4	19
42	NOTCH2	7	3	17
42	CHD8	2	1	12
42	FAM208B	2	1	11
42	SIPA1L3	4	2	13
42	SON	11	5	22
42	SVEP1	6	3	15
42	DIP2C	0	0	6
42	UBR2	0	0	8
42	FLNB	4	2	14
42	DNAJC13	2	1	9
42	VPS13D	0	0	7
42	PDS5A	0	0	7
42	C17orf51	0	0	6
42	FBN2	58	45	76
42	EGFR	2	1	10
42	TLN1	17	10	30
42	SSH1	6	3	16
42	AGPS	0	0	7
42	COL5A1	59	44	79
42	STARD9	5	2	15
42	VCAN	6	3	15
42	PAPPA	13	7	26
42	GPR107	2	1	9
42	PTPN14	11	5	22
42	ZKSCAN2	0	0	6
42	CBX5	0	0	5
42	USP34	2	1	11
42	ITGA2	0	0	6
42	NKTR	0	0	5
42	KPNA4	0	0	6
42	AMOTL1	0	0	7
42	KIAA1199	86	70	107
42	THSD4	0	0	6
42	HERC2	19	11	34
42	ZC3H13	0	0	6
42	AKAP11	0	0	7
42	DIEXF	0	0	6
42	PCNX	0	0	6
42	TNRC6A	0	0	6
42	ASCC3	4	2	14
42	DOPEY1	0	0	7
42	CASC5	0	0	7
42	CKAP5	11	5	23
42	IQGAP1	10	5	19
42	SLC7A11	0	0	6
42	H6PD	2	1	10
42	ABCA2	0	0	6
42	NRIP1	0	0	6
42	PIEZO1	0	0	6
42	LMTK2	0	0	8
42	RAB3B	2	1	10
42	FZD4	0	0	7
42	KIAA2018	0	0	6
42	NF1	4	2	14
42	USP9X	0	0	6
42	DIP2B	5	2	15
42	ARL10	0	0	7
42	C14orf132	4	2	12
42	HEATR5B	0	0	7
42	USP24	0	0	7
42	PRKDC	0	0	6
42	REV3L	0	0	6
42	POLQ	0	0	7
42	ANKRD52	0	0	6
42	ZFC3H1	0	0	7
42	ATP11A	0	0	7
42	PRRC2B	6	3	15
42	SPTAN1	19	12	33
42	RNF169	0	0	7
42	TMOD2	0	0	6
42	SCUBE3	0	0	6
42	MKI67	0	0	5
42	SLC5A3	0	0	6
42	PIK3CA	2	1	11
42	GTF3C1	6	3	15
42	COL7A1	0	0	6
42	GTF3C4	0	0	6
42	CEP250	0	0	7
42	HIVEP2	0	0	7
42	PHIP	0	0	7
42	KIDINS220	0	0	6
42	KIAA1147	0	0	8
42	MED14	0	0	6
42	UBR5	4	2	12
42	MYH10	2	1	8
42	LRP1	20	12	33
42	HELZ2	0	0	7
42	PLXNA1	0	0	6
42	FYCO1	8	4	19
42	MALAT1	0	0	5
42	TPR	2	1	9
42	NUP98	0	0	7
42	FOSB	2	1	9
42	IGF2R	10	5	20
42	CACNA1A	2	1	11
42	TEAD1	4	2	11
42	DSEL	0	0	6
42	FASN	5	2	15
42	QSER1	0	0	8
42	NUMA1	20	12	37
42	TNC	4	2	12
42	FLNA	106	87	130
42	SRRM2	21	13	35
42	AFAP1	0	0	7
42	MAN1A2	7	3	19
42	HIVEP1	0	0	6
42	ALPK2	4	2	13
42	AFF4	2	1	11
42	DOCK7	2	1	10
42	ROCK2	10	5	20
42	THBS1	335	305	369
42	CENPF	2	1	10
42	FRY	13	6	28
42	PRKCA	17	9	31
42	LYST	0	0	7
42	ALMS1	2	1	10
42	CBL	0	0	7
42	VPS13A	0	0	6
42	KIAA1462	2	1	9
42	NR4A1	0	0	6
42	LUZP1	0	0	7
42	SPTBN1	38	27	53
42	FLNC	6	3	15
42	BRCA2	0	0	7
42	CREBBP	4	2	14
42	SMARCA5	2	1	9
23	PIEZO1	0	0	6
23	FBN1	0	0	5
23	USP24	0	0	7
23	HELZ2	0	0	7
23	KIAA1147	0	0	8
23	CREBBP	0	0	6
23	MYH10	8	4	17
23	FZD4	0	0	7
23	AMOTL1	2	1	11
23	TEAD1	0	0	5
23	IGF2R	2	1	9
23	NKTR	0	0	5
23	MALAT1	0	0	5
23	QSER1	0	0	8
23	ALMS1	0	0	6
23	UBR5	0	0	5
23	LUZP1	0	0	7
23	NUP98	2	1	11
23	C17orf51	0	0	6
23	ANKRD52	0	0	6
23	PCNX	0	0	6
23	FRY	0	0	8
23	ALPK2	0	0	6
23	AFAP1	0	0	7
23	IQGAP1	2	1	8
23	TLN1	2	1	9
23	AKAP11	0	0	7
23	KIAA1462	12	7	24
23	PDS5A	0	0	7
23	SLC5A3	0	0	6
23	ZC3H13	4	2	13
23	HERC2	0	0	7
23	LMTK2	0	0	8
23	KIAA2018	0	0	6
23	FBN2	0	0	5
23	VCAN	0	0	5
23	ZKSCAN2	0	0	6
23	MKI67	2	1	9
23	CEP250	0	0	7
23	CASC5	0	0	7
23	NOTCH2	0	0	6
23	DOCK7	0	0	6
23	PTPN14	13	7	25
23	UBR2	0	0	8
23	RNF169	0	0	7
23	ARL10	0	0	7
23	PRRC2B	0	0	5
23	SCUBE3	2	1	10
23	PLXNA1	0	0	6
23	FAM208B	0	0	7
23	NF1	0	0	6
23	SRRM2	15	8	27
23	NUMA1	0	0	7
23	DIP2C	0	0	6
23	REV3L	0	0	6
23	H6PD	0	0	6
23	NRIP1	0	0	6
23	SPTAN1	26	17	41
23	HIVEP1	0	0	6
23	FASN	0	0	7
23	DIEXF	0	0	6
23	FYCO1	11	5	22
23	PHIP	0	0	7
23	CBX5	0	0	5
23	SLC7A11	0	0	6
23	CENPF	0	0	6
23	DSEL	0	0	6
23	HIVEP2	2	1	12
23	PAPPA	4	2	13
23	AGPS	0	0	7
23	SIPA1L3	0	0	6
23	SPTBN1	14	8	24
23	FOSB	0	0	6
23	POLQ	0	0	7
23	TNC	2	1	9
23	NR4A1	0	0	6
23	LYST	0	0	7
23	PRKCA	4	2	15
23	MED14	0	0	6
23	SLC38A1	0	0	6
23	VPS13D	0	0	7
23	PIK3CA	0	0	7
23	LRP1	0	0	6
23	ABCA2	0	0	6
23	MAN1A2	0	0	7
23	VPS13A	0	0	6
23	RAB3B	2	1	10
23	TNRC6A	0	0	6
23	SSH1	0	0	6
23	FLNA	77	62	98
23	STARD9	0	0	7
23	COL5A1	4	2	13
23	ZFC3H1	2	1	11
23	BRCA2	0	0	7
23	DOPEY1	0	0	7
23	AFF4	0	0	7
23	PRKDC	0	0	6
23	THSD4	0	0	6
23	USP9X	2	1	10
23	GPR107	4	2	12
23	CKAP5	16	9	30
23	ASCC3	2	1	10
23	PRPF8	6	3	15
23	COL7A1	2	1	10
23	SVEP1	2	1	9
