feat	diff_pep	diff_fdr	diff_bf	cv_ev	cv_sd	cv_map	cv_ci_lower	cv_ci_upper
FLNC	4.67e-1	4.67e-1	12.44	0.50	0.07	0.57	0.38	0.61
NES	8.29e-1	6.48e-1	3.96	0.43	0.06	0.39	0.31	0.55
KIAA1462	8.99e-1	7.32e-1	3.36	0.45	0.04	0.49	0.36	0.52
RAB3B	9.39e-1	7.83e-1	3.09	0.40	0.08	0.50	0.26	0.52
CABIN1	9.40e-1	8.15e-1	3.07	0.34	0.10	0.22	0.17	0.52
RBM12B	9.80e-1	8.42e-1	2.83	0.28	0.11	0.27	0.10	0.49
MEGF8	9.83e-1	8.62e-1	2.81	0.30	0.10	0.43	0.15	0.49
TGS1	9.83e-1	8.78e-1	2.81	0.26	0.11	0.18	0.12	0.49
CES2	9.84e-1	8.89e-1	2.80	0.22	0.14	0.07	0.02	0.49
TOP3A	9.86e-1	8.99e-1	2.79	0.24	0.10	0.22	0.09	0.47
ZFAT	9.87e-1	9.07e-1	2.79	0.29	0.11	0.45	0.11	0.50
KIAA0754	9.87e-1	9.14e-1	2.79	0.21	0.15	0.03	0.00	0.47
KIF14	9.87e-1	9.19e-1	2.79	0.28	0.09	0.34	0.13	0.48
SPTBN1	9.87e-1	9.24e-1	2.79	0.41	0.04	0.48	0.35	0.48
CIC	9.89e-1	9.29e-1	2.78	0.24	0.09	0.17	0.11	0.47
OFD1	9.89e-1	9.32e-1	2.78	0.24	0.11	0.41	0.07	0.47
RAPGEF1	9.90e-1	9.36e-1	2.78	0.25	0.11	0.43	0.10	0.47
INPP4A	9.90e-1	9.39e-1	2.77	0.25	0.11	0.15	0.09	0.47
blank009	9.91e-1	9.42e-1	2.77	0.25	0.11	0.27	0.08	0.48
PIK3CD	9.91e-1	9.44e-1	2.77	0.23	0.11	0.30	0.06	0.49
MYPN	9.91e-1	9.46e-1	2.77	0.21	0.13	0.03	0.00	0.47
BRI3BP	9.92e-1	9.48e-1	2.76	0.27	0.10	0.18	0.12	0.47
DMXL2	9.92e-1	9.50e-1	2.76	0.23	0.09	0.25	0.07	0.45
NACC2	9.92e-1	9.52e-1	2.76	0.25	0.11	0.26	0.09	0.48
FAM13B	9.92e-1	9.54e-1	2.76	0.25	0.10	0.20	0.12	0.48
ZBTB39	9.93e-1	9.55e-1	2.76	0.21	0.10	0.33	0.06	0.45
AFAP1	9.93e-1	9.57e-1	2.76	0.40	0.04	0.43	0.33	0.48
AMPD3	9.93e-1	9.58e-1	2.76	0.21	0.11	0.44	0.06	0.45
FRY	9.93e-1	9.59e-1	2.76	0.20	0.12	0.42	0.05	0.44
SLC18A2	9.93e-1	9.60e-1	2.75	0.26	0.10	0.42	0.09	0.46
CDC25A	9.94e-1	9.61e-1	2.75	0.19	0.12	0.05	0.00	0.46
HMGXB3	9.94e-1	9.62e-1	2.75	0.20	0.12	0.02	0.00	0.46
SOGA1	9.94e-1	9.63e-1	2.75	0.21	0.12	0.43	0.03	0.43
EEF2K	9.94e-1	9.64e-1	2.75	0.19	0.12	0.03	0.02	0.44
MED14	9.95e-1	9.65e-1	2.74	0.19	0.12	0.08	0.00	0.41
IPO9	9.95e-1	9.66e-1	2.74	0.19	0.12	0.09	0.02	0.47
HAS2	9.95e-1	9.67e-1	2.74	0.27	0.09	0.35	0.10	0.45
MAP3K6	9.96e-1	9.67e-1	2.74	0.21	0.12	0.08	0.03	0.44
FAM168A	9.96e-1	9.68e-1	2.74	0.27	0.10	0.44	0.14	0.46
DGKI	9.96e-1	9.69e-1	2.74	0.23	0.11	0.30	0.03	0.45
PHKA1	9.96e-1	9.69e-1	2.74	0.21	0.11	0.29	0.02	0.46
ELMSAN1	9.96e-1	9.70e-1	2.74	0.23	0.11	0.33	0.08	0.47
AGGF1	9.96e-1	9.71e-1	2.74	0.23	0.10	0.39	0.07	0.45
LARS2	9.96e-1	9.71e-1	2.74	0.23	0.10	0.25	0.08	0.46
SYNJ2	9.96e-1	9.72e-1	2.74	0.26	0.10	0.38	0.11	0.48
FASN	9.96e-1	9.72e-1	2.74	0.24	0.10	0.39	0.09	0.44
URB2	9.96e-1	9.73e-1	2.74	0.21	0.11	0.05	0.00	0.43
FAM46A	9.96e-1	9.73e-1	2.74	0.22	0.11	0.39	0.06	0.43
ITPR1	9.96e-1	9.74e-1	2.74	0.24	0.10	0.39	0.07	0.44
LPGAT1	9.96e-1	9.74e-1	2.74	0.24	0.10	0.43	0.07	0.43
CSPG4	9.96e-1	9.75e-1	2.74	0.22	0.10	0.42	0.07	0.44
C11orf95	9.96e-1	9.75e-1	2.74	0.18	0.10	0.05	0.03	0.41
LRP4	9.96e-1	9.76e-1	2.74	0.26	0.11	0.34	0.11	0.46
LRP5	9.97e-1	9.76e-1	2.74	0.26	0.11	0.15	0.11	0.45
IQSEC1	9.97e-1	9.76e-1	2.74	0.23	0.11	0.39	0.09	0.45
LLGL1	9.97e-1	9.77e-1	2.74	0.26	0.10	0.20	0.13	0.45
ZNF646	9.97e-1	9.77e-1	2.74	0.22	0.10	0.31	0.05	0.41
RNF169	9.97e-1	9.77e-1	2.74	0.21	0.11	0.40	0.04	0.45
C20orf194	9.97e-1	9.78e-1	2.74	0.23	0.09	0.17	0.10	0.44
TBC1D13	9.97e-1	9.78e-1	2.74	0.20	0.11	0.31	0.02	0.45
WDR81	9.97e-1	9.78e-1	2.73	0.28	0.09	0.39	0.12	0.44
