feat	diff_pep	diff_fdr	diff_bf	cv_map	cv_ci_lower	cv_ci_upper
PAPPA	0.00e0	0.00e0	inf	0.98	0.96	1.01
THBS1	0.00e0	0.00e0	inf	0.73	0.70	0.74
SLC5A3	3.27e-2	1.09e-2	29.61	0.70	0.43	0.73
COL7A1	5.21e-2	2.12e-2	18.18	0.54	0.40	0.65
NUP98	1.99e-1	5.67e-2	4.04	0.52	0.46	0.58
C14orf132	2.43e-1	8.77e-2	3.12	0.53	0.46	0.57
MKI67	3.33e-1	1.23e-1	2.00	0.51	0.45	0.57
FASN	4.68e-1	1.66e-1	1.14	0.43	0.34	0.56
MALAT1	4.93e-1	2.02e-1	1.03	0.49	0.46	0.53
NOTCH2	6.18e-1	2.44e-1	0.62	0.47	0.42	0.54
EGFR	8.54e-1	2.99e-1	0.17	0.49	0.36	0.52
HIVEP1	8.96e-1	3.49e-1	0.12	0.48	0.37	0.52
SLC7A11	9.11e-1	3.92e-1	0.10	0.47	0.41	0.51
ITGA2	9.58e-1	4.33e-1	0.04	0.42	0.31	0.50
RAB3B	9.73e-1	4.69e-1	0.03	0.49	0.36	0.50
ARL10	9.86e-1	5.01e-1	0.01	0.41	0.28	0.50
VPS13A	9.93e-1	5.30e-1	0.01	0.41	0.36	0.48
CASC5	9.94e-1	5.56e-1	0.01	0.43	0.27	0.48
AGPS	9.95e-1	5.79e-1	0.01	0.42	0.35	0.48
UBR2	9.96e-1	6.00e-1	0.00	0.35	0.32	0.45
PHIP	9.98e-1	6.19e-1	0.00	0.42	0.34	0.47
FLNA	9.99e-1	6.36e-1	0.00	0.28	0.26	0.29
FBN2	9.99e-1	6.52e-1	0.00	0.43	0.38	0.44
COL5A1	9.99e-1	6.66e-1	0.00	0.28	0.24	0.29
TNC	9.99e-1	6.80e-1	0.00	0.27	0.27	0.32
KIAA1199	9.99e-1	6.92e-1	0.00	0.44	0.40	0.47
TLN1	9.99e-1	7.03e-1	0.00	0.26	0.24	0.30
CHD8	9.99e-1	7.14e-1	0.00	0.43	0.34	0.47
CBL	9.99e-1	7.24e-1	0.00	0.40	0.34	0.46
SRRM2	1.00e0	7.33e-1	0.00	0.18	0.17	0.20
PRPF8	1.00e0	7.42e-1	0.00	0.29	0.26	0.30
FBN1	1.00e0	7.50e-1	0.00	0.26	0.25	0.32
KIAA1147	1.00e0	7.57e-1	0.00	0.40	0.27	0.45
LRP1	1.00e0	7.64e-1	0.00	0.35	0.34	0.40
FLNC	1.00e0	7.71e-1	0.00	0.20	0.15	0.20
IGF2R	1.00e0	7.77e-1	0.00	0.24	0.17	0.24
SPTAN1	1.00e0	7.83e-1	0.00	0.40	0.39	0.42
SPTBN1	1.00e0	7.89e-1	0.00	0.34	0.32	0.34
POLQ	1.00e0	7.95e-1	0.00	0.42	0.35	0.46
MYH10	1.00e0	8.00e-1	0.00	0.25	0.24	0.27
