feat	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
ABCA1	17.0	0.0	0.0	13.0	13.0	4.0	4.0	17.0	8.0	13.0	0.0	0.0	0.0	0.0	0.0	4.0	8.0	8.0	0.0	0.0
ABCA2	4.0	8.0	4.0	0.0	0.0	0.0	8.0	0.0	4.0	13.0	0.0	8.0	0.0	4.0	4.0	0.0	4.0	0.0	0.0	0.0
ABCC10	4.0	0.0	0.0	13.0	4.0	0.0	0.0	0.0	8.0	8.0	0.0	4.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
ABCC5	0.0	0.0	0.0	0.0	4.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	8.0	26.0	0.0	0.0	0.0	0.0	4.0	0.0
ABHD13	13.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	8.0	0.0	13.0	0.0	8.0	8.0
ACSL1	8.0	8.0	4.0	26.0	0.0	0.0	0.0	17.0	8.0	13.0	4.0	0.0	0.0	8.0	13.0	0.0	0.0	0.0	4.0	0.0
ADAM17	8.0	8.0	0.0	21.0	4.0	0.0	8.0	0.0	0.0	4.0	0.0	17.0	0.0	0.0	0.0	8.0	13.0	4.0	0.0	0.0
ADAMTS15	0.0	21.0	13.0	13.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	13.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0
ADAMTS3	8.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	8.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0
ADCY6	0.0	4.0	8.0	4.0	0.0	0.0	8.0	4.0	0.0	21.0	0.0	0.0	13.0	0.0	0.0	4.0	0.0	0.0	4.0	4.0
ADCY7	4.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	17.0	0.0	0.0	8.0	8.0	0.0	4.0	0.0	0.0	4.0	4.0	0.0
ADNP	30.0	4.0	0.0	0.0	8.0	13.0	0.0	13.0	17.0	4.0	4.0	4.0	0.0	8.0	4.0	0.0	4.0	0.0	4.0	0.0
ADO	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	4.0	21.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	4.0	4.0
AFAP1	4.0	17.0	8.0	21.0	0.0	4.0	17.0	8.0	0.0	21.0	13.0	4.0	0.0	13.0	4.0	4.0	0.0	0.0	4.0	0.0
AFAP1L1	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
AFF4	0.0	4.0	0.0	8.0	0.0	8.0	4.0	0.0	0.0	26.0	8.0	4.0	8.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0
AGGF1	0.0	0.0	0.0	4.0	4.0	0.0	0.0	4.0	0.0	4.0	0.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGL	0.0	13.0	0.0	4.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0
AGO1	0.0	13.0	0.0	0.0	4.0	4.0	0.0	0.0	13.0	13.0	0.0	0.0	4.0	8.0	0.0	4.0	0.0	0.0	0.0	4.0
AGO4	13.0	8.0	0.0	13.0	21.0	0.0	8.0	4.0	0.0	0.0	0.0	4.0	0.0	4.0	4.0	4.0	0.0	0.0	4.0	0.0
AGPS	4.0	0.0	0.0	4.0	0.0	0.0	8.0	0.0	0.0	13.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
AGTPBP1	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	4.0	8.0
AHCTF1P1	0.0	26.0	17.0	34.0	8.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	8.0	4.0	0.0	4.0	4.0	8.0	0.0
AHNAK2	0.0	4.0	4.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	4.0	8.0	8.0	8.0
AKAP11	13.0	0.0	4.0	8.0	0.0	0.0	4.0	0.0	8.0	4.0	0.0	13.0	8.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
AKAP13	4.0	13.0	0.0	0.0	0.0	17.0	17.0	0.0	0.0	8.0	0.0	8.0	13.0	0.0	17.0	0.0	0.0	0.0	4.0	0.0
AKAP8	4.0	4.0	0.0	4.0	0.0	0.0	8.0	0.0	0.0	8.0	0.0	4.0	8.0	0.0	17.0	4.0	0.0	0.0	4.0	0.0
AKAP9	4.0	0.0	4.0	13.0	4.0	4.0	4.0	4.0	0.0	4.0	4.0	4.0	43.0	0.0	0.0	4.0	0.0	4.0	0.0	17.0
ALMS1	4.0	0.0	4.0	0.0	0.0	0.0	4.0	8.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0
ALPK1	0.0	13.0	8.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	4.0	0.0	13.0	0.0	0.0	0.0	0.0	13.0	0.0
ALPK2	0.0	8.0	4.0	17.0	13.0	0.0	8.0	8.0	4.0	48.0	26.0	21.0	4.0	0.0	8.0	4.0	0.0	0.0	8.0	4.0
AMMECR1L	13.0	30.0	8.0	4.0	0.0	0.0	8.0	4.0	4.0	0.0	0.0	17.0	4.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0
AMOTL1	4.0	0.0	17.0	0.0	0.0	17.0	4.0	0.0	8.0	4.0	0.0	0.0	21.0	0.0	8.0	0.0	0.0	0.0	13.0	8.0
AMPD3	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	8.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	4.0
ANGEL1	0.0	0.0	0.0	13.0	4.0	4.0	0.0	0.0	0.0	4.0	0.0	4.0	4.0	17.0	0.0	0.0	4.0	0.0	0.0	0.0
ANKFY1	4.0	21.0	13.0	0.0	17.0	4.0	21.0	0.0	8.0	30.0	0.0	8.0	17.0	8.0	0.0	4.0	4.0	8.0	4.0	21.0
ANKRD26	0.0	0.0	17.0	0.0	0.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	8.0	4.0	0.0	0.0	8.0	8.0	0.0
ANKRD32	0.0	4.0	13.0	4.0	0.0	0.0	4.0	4.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANKRD50	21.0	8.0	0.0	17.0	4.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	8.0	4.0	0.0	4.0	0.0	8.0	0.0
ANKRD52	43.0	17.0	4.0	8.0	21.0	4.0	4.0	8.0	0.0	8.0	8.0	0.0	0.0	0.0	0.0	8.0	0.0	4.0	0.0	0.0
ANKS1A	0.0	4.0	21.0	0.0	0.0	0.0	4.0	0.0	13.0	17.0	8.0	0.0	4.0	0.0	8.0	4.0	0.0	0.0	0.0	0.0
ANPEP	0.0	0.0	4.0	0.0	0.0	4.0	0.0	4.0	4.0	8.0	4.0	0.0	4.0	8.0	8.0	0.0	13.0	4.0	4.0	4.0
AP1G2	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
AP4E1	0.0	0.0	8.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	21.0	0.0	13.0	0.0	17.0	4.0	0.0	8.0
APC	4.0	4.0	0.0	8.0	0.0	13.0	8.0	0.0	8.0	13.0	0.0	0.0	21.0	8.0	0.0	0.0	8.0	0.0	17.0	0.0
APH1B	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
APOLD1	0.0	0.0	0.0	0.0	4.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	4.0	0.0
AQR	4.0	0.0	0.0	17.0	34.0	4.0	4.0	4.0	4.0	4.0	0.0	4.0	0.0	0.0	0.0	4.0	21.0	4.0	13.0	0.0
AREL1	30.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	8.0	0.0	4.0	4.0	0.0	4.0	0.0
