feat	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ABCA2	1.4081632653061225	0.0	1.4081632653061225	0.0	1.4081632653061225	8.448979591836736	1.4081632653061225	0.0	0.0	0.0	0.0	1.4081632653061225	1.4081632653061225	1.4081632653061225	0.0	0.0	0.0	0.0	9.857142857142858	1.4081632653061225	0.0	0.0	5.63265306122449	0.0	0.0	0.0	4.224489795918368	1.4081632653061225	0.0	0.0	2.816326530612245	1.4081632653061225	0.0	0.0	0.0	2.816326530612245	0.0	1.4081632653061225	8.448979591836736	4.224489795918368	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	2.816326530612245	1.4081632653061225	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	9.857142857142858	1.4081632653061225	0.0	1.4081632653061225	2.816326530612245	1.4081632653061225	0.0	4.224489795918368	0.0	1.4081632653061225	1.4081632653061225	2.816326530612245	0.0	1.4081632653061225	8.448979591836736	0.0	0.0	0.0	0.0	5.63265306122449	1.4081632653061225	0.0	1.4081632653061225	1.4081632653061225	0.0	0.0	0.0	0.0	5.63265306122449	0.0	1.4081632653061225	5.63265306122449	1.4081632653061225	15.489795918367347	2.816326530612245	0.0	8.448979591836736	2.816326530612245	1.4081632653061225	0.0	1.4081632653061225	1.4081632653061225
AFAP1	1.4081632653061225	1.4081632653061225	0.0	1.4081632653061225	15.489795918367347	0.0	2.816326530612245	8.448979591836736	5.63265306122449	0.0	4.224489795918368	0.0	5.63265306122449	1.4081632653061225	2.816326530612245	0.0	11.26530612244898	1.4081632653061225	5.63265306122449	0.0	2.816326530612245	11.26530612244898	1.4081632653061225	0.0	0.0	12.673469387755102	1.4081632653061225	2.816326530612245	0.0	0.0	9.857142857142858	1.4081632653061225	0.0	0.0	5.63265306122449	2.816326530612245	1.4081632653061225	0.0	2.816326530612245	2.816326530612245	1.4081632653061225	1.4081632653061225	0.0	4.224489795918368	4.224489795918368	4.224489795918368	2.816326530612245	1.4081632653061225	0.0	2.816326530612245	2.816326530612245	1.4081632653061225	1.4081632653061225	5.63265306122449	1.4081632653061225	0.0	15.489795918367347	0.0	2.816326530612245	5.63265306122449	8.448979591836736	0.0	0.0	0.0	4.224489795918368	0.0	0.0	9.857142857142858	0.0	2.816326530612245	4.224489795918368	4.224489795918368	9.857142857142858	9.857142857142858	16.89795918367347	1.4081632653061225	2.816326530612245	2.816326530612245	11.26530612244898	2.816326530612245	5.63265306122449	1.4081632653061225	1.4081632653061225	0.0	2.816326530612245	4.224489795918368	5.63265306122449	5.63265306122449	0.0	4.224489795918368	0.0	1.4081632653061225	4.224489795918368	5.63265306122449	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	1.4081632653061225
AFF4	5.63265306122449	5.63265306122449	8.448979591836736	4.224489795918368	5.63265306122449	4.224489795918368	0.0	11.26530612244898	9.857142857142858	12.673469387755102	1.4081632653061225	15.489795918367347	5.63265306122449	5.63265306122449	0.0	5.63265306122449	9.857142857142858	2.816326530612245	2.816326530612245	0.0	0.0	2.816326530612245	4.224489795918368	2.816326530612245	0.0	4.224489795918368	2.816326530612245	11.26530612244898	2.816326530612245	4.224489795918368	1.4081632653061225	8.448979591836736	1.4081632653061225	0.0	9.857142857142858	5.63265306122449	0.0	9.857142857142858	4.224489795918368	4.224489795918368	5.63265306122449	9.857142857142858	4.224489795918368	5.63265306122449	12.673469387755102	5.63265306122449	1.4081632653061225	11.26530612244898	1.4081632653061225	19.714285714285715	8.448979591836736	0.0	5.63265306122449	15.489795918367347	2.816326530612245	11.26530612244898	23.93877551020408	1.4081632653061225	5.63265306122449	8.448979591836736	12.673469387755102	0.0	1.4081632653061225	11.26530612244898	9.857142857142858	4.224489795918368	2.816326530612245	12.673469387755102	2.816326530612245	8.448979591836736	11.26530612244898	8.448979591836736	19.714285714285715	8.448979591836736	12.673469387755102	0.0	9.857142857142858	4.224489795918368	18.306122448979593	2.816326530612245	5.63265306122449	5.63265306122449	18.306122448979593	12.673469387755102	2.816326530612245	0.0	11.26530612244898	2.816326530612245	1.4081632653061225	11.26530612244898	4.224489795918368	5.63265306122449	12.673469387755102	5.63265306122449	1.4081632653061225	8.448979591836736	15.489795918367347	2.816326530612245	5.63265306122449	9.857142857142858	2.816326530612245
AGPS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.816326530612245	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.816326530612245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.816326530612245	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKAP11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.816326530612245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	1.4081632653061225	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALMS1	0.0	1.4081632653061225	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	1.4081632653061225	2.816326530612245	0.0	2.816326530612245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	1.4081632653061225	0.0	0.0	1.4081632653061225	0.0	0.0	1.4081632653061225	2.816326530612245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.63265306122449	1.4081632653061225	1.4081632653061225	5.63265306122449	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.816326530612245	0.0	0.0	0.0	4.224489795918368	0.0	0.0	0.0	2.816326530612245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.816326530612245
ALPK2	12.673469387755102	4.224489795918368	0.0	1.4081632653061225	11.26530612244898	4.224489795918368	0.0	26.755102040816325	12.673469387755102	12.673469387755102	4.224489795918368	19.714285714285715	5.63265306122449	2.816326530612245	0.0	1.4081632653061225	12.673469387755102	0.0	1.4081632653061225	0.0	0.0	19.714285714285715	0.0	1.4081632653061225	0.0	12.673469387755102	0.0	22.53061224489796	9.857142857142858	5.63265306122449	8.448979591836736	4.224489795918368	8.448979591836736	0.0	5.63265306122449	2.816326530612245	1.4081632653061225	1.4081632653061225	15.489795918367347	9.857142857142858	1.4081632653061225	33.79591836734694	22.53061224489796	4.224489795918368	16.89795918367347	11.26530612244898	8.448979591836736	4.224489795918368	1.4081632653061225	8.448979591836736	1.4081632653061225	1.4081632653061225	8.448979591836736	5.63265306122449	0.0	4.224489795918368	9.857142857142858	0.0	5.63265306122449	16.89795918367347	9.857142857142858	0.0	2.816326530612245	0.0	18.306122448979593	9.857142857142858	2.816326530612245	1.4081632653061225	1.4081632653061225	2.816326530612245	4.224489795918368	11.26530612244898	15.489795918367347	12.673469387755102	1.4081632653061225	8.448979591836736	16.89795918367347	5.63265306122449	25.346938775510203	1.4081632653061225	2.816326530612245	5.63265306122449	9.857142857142858	0.0	0.0	1.4081632653061225	9.857142857142858	4.224489795918368	1.4081632653061225	0.0	15.489795918367347	2.816326530612245	4.224489795918368	32.38775510204081	4.224489795918368	4.224489795918368	9.857142857142858	26.755102040816325	8.448979591836736	9.857142857142858	0.0
AMOTL1	9.857142857142858	11.26530612244898	16.89795918367347	4.224489795918368	9.857142857142858	4.224489795918368	8.448979591836736	19.714285714285715	4.224489795918368	15.489795918367347	15.489795918367347	4.224489795918368	12.673469387755102	2.816326530612245	2.816326530612245	8.448979591836736	8.448979591836736	8.448979591836736	12.673469387755102	1.4081632653061225	5.63265306122449	5.63265306122449	19.714285714285715	15.489795918367347	0.0	5.63265306122449	12.673469387755102	5.63265306122449	9.857142857142858	9.857142857142858	9.857142857142858	5.63265306122449	11.26530612244898	4.224489795918368	5.63265306122449	9.857142857142858	2.816326530612245	1.4081632653061225	19.714285714285715	5.63265306122449	9.857142857142858	11.26530612244898	21.122448979591837	4.224489795918368	4.224489795918368	4.224489795918368	11.26530612244898	11.26530612244898	8.448979591836736	1.4081632653061225	5.63265306122449	9.857142857142858	9.857142857142858	21.122448979591837	12.673469387755102	26.755102040816325	12.673469387755102	2.816326530612245	4.224489795918368	12.673469387755102	12.673469387755102	8.448979591836736	11.26530612244898	11.26530612244898	16.89795918367347	8.448979591836736	15.489795918367347	18.306122448979593	25.346938775510203	9.857142857142858	2.816326530612245	11.26530612244898	38.02040816326531	15.489795918367347	9.857142857142858	2.816326530612245	23.93877551020408	15.489795918367347	12.673469387755102	4.224489795918368	5.63265306122449	4.224489795918368	9.857142857142858	9.857142857142858	1.4081632653061225	1.4081632653061225	18.306122448979593	1.4081632653061225	1.4081632653061225	11.26530612244898	0.0	9.857142857142858	9.857142857142858	19.714285714285715	15.489795918367347	19.714285714285715	15.489795918367347	15.489795918367347	9.857142857142858	8.448979591836736	9.857142857142858
ANKRD52	1.4081632653061225	5.63265306122449	4.224489795918368	2.816326530612245	0.0	0.0	0.0	0.0	4.224489795918368	0.0	0.0	0.0	5.63265306122449	1.4081632653061225	0.0	0.0	1.4081632653061225	1.4081632653061225	0.0	0.0	0.0	9.857142857142858	2.816326530612245	0.0	0.0	0.0	1.4081632653061225	5.63265306122449	0.0	0.0	4.224489795918368	1.4081632653061225	0.0	0.0	0.0	5.63265306122449	0.0	4.224489795918368	0.0	4.224489795918368	0.0	8.448979591836736	2.816326530612245	5.63265306122449	15.489795918367347	4.224489795918368	5.63265306122449	5.63265306122449	0.0	1.4081632653061225	1.4081632653061225	2.816326530612245	2.816326530612245	5.63265306122449	2.816326530612245	0.0	8.448979591836736	0.0	1.4081632653061225	8.448979591836736	4.224489795918368	0.0	11.26530612244898	0.0	4.224489795918368	0.0	0.0	0.0	0.0	4.224489795918368	0.0	1.4081632653061225	5.63265306122449	0.0	2.816326530612245	1.4081632653061225	1.4081632653061225	1.4081632653061225	2.816326530612245	0.0	2.816326530612245	0.0	2.816326530612245	0.0	0.0	0.0	1.4081632653061225	4.224489795918368	2.816326530612245	15.489795918367347	2.816326530612245	0.0	8.448979591836736	8.448979591836736	0.0	11.26530612244898	2.816326530612245	0.0	1.4081632653061225	1.4081632653061225	1.4081632653061225
ARL10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.816326530612245	0.0	0.0	0.0	0.0	0.0	2.816326530612245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	2.816326530612245	1.4081632653061225	0.0	0.0	1.4081632653061225	1.4081632653061225	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	1.4081632653061225	1.4081632653061225	0.0	2.816326530612245	0.0	0.0	0.0	0.0	0.0	0.0
