goterm	gene	cv	fdr
GO:0051346	COL7A1	1.24	3.41e-35
GO:0051346	THBS1	0.83	0
GO:0051346	IQGAP1	0.35	0.797
GO:0051346	ROCK2	0.51	0.00105
GO:0007045	THBS1	0.83	0
GO:0007045	ROCK2	0.51	0.00105
GO:0007565	FOSB	0.57	0.00324
GO:0007565	PAPPA	1.1	0
GO:0010951	COL7A1	1.24	3.41e-35
GO:0010951	THBS1	0.83	0
GO:0032570	FOSB	0.57	0.00324
GO:0032570	THBS1	0.83	0
GO:0034332	THBS1	0.83	0
GO:0034332	ROCK2	0.51	0.00105
GO:0048705	FBN2	0.62	0.00756
GO:0048705	THBS1	0.83	0
GO:0051893	THBS1	0.83	0
GO:0051893	ROCK2	0.51	0.00105
GO:0052547	COL7A1	1.24	3.41e-35
GO:0052547	THBS1	0.83	0
GO:1901889	THBS1	0.83	0
GO:1901889	ROCK2	0.51	0.00105
GO:0014070	EGFR	0.39	0.7
GO:0014070	ABCA2	0.35	0.748
GO:0014070	FOSB	0.57	0.00324
GO:0014070	SLC7A11	0.35	0.822
GO:0014070	NR4A1	0.42	0.186
GO:0014070	MKI67	0.62	0.000134
GO:0014070	SSH1	0.33	0.713
GO:0014070	BRCA2	0.4	0.424
GO:0014070	THBS1	0.83	0
GO:0014070	NRIP1	0.23	0.79
GO:0014070	ROCK2	0.51	0.00105
GO:0009266	CREBBP	0.39	0.779
GO:0009266	MKI67	0.62	0.000134
GO:0009266	NF1	0.47	0.588
GO:0009266	NUP98	0.65	3.76e-13
GO:0009266	THBS1	0.83	0
GO:0009266	TPR	0.36	0.709
GO:0034605	CREBBP	0.39	0.779
GO:0034605	MKI67	0.62	0.000134
GO:0034605	NF1	0.47	0.588
GO:0034605	NUP98	0.65	3.76e-13
GO:0034605	THBS1	0.83	0
GO:0034605	TPR	0.36	0.709
GO:0016525	NF1	0.47	0.588
GO:0016525	THBS1	0.83	0
GO:0016525	ROCK2	0.51	0.00105
GO:0017015	FBN1	0.31	0.841
GO:0017015	FBN2	0.62	0.00756
GO:0017015	THBS1	0.83	0
GO:0051592	FOSB	0.57	0.00324
GO:0051592	THBS1	0.83	0
GO:0051592	IQGAP1	0.35	0.797
GO:0071241	FOSB	0.57	0.00324
GO:0071241	THBS1	0.83	0
GO:0071241	IQGAP1	0.35	0.797
GO:0090288	FBN1	0.31	0.841
GO:0090288	FBN2	0.62	0.00756
GO:0090288	THBS1	0.83	0
GO:1901343	NF1	0.47	0.588
GO:1901343	THBS1	0.83	0
GO:1901343	ROCK2	0.51	0.00105
GO:0071310	EGFR	0.39	0.7
GO:0071310	FASN	0.55	1.36e-09
GO:0071310	FBN1	0.31	0.841
GO:0071310	FBN2	0.62	0.00756
GO:0071310	FLNB	0.39	0.794
GO:0071310	UBR2	0.35	0.681
GO:0071310	FOSB	0.57	0.00324
GO:0071310	TNRC6A	0.35	0.788
GO:0071310	NR4A1	0.42	0.186
GO:0071310	KPNA4	0.32	0.58
GO:0071310	NF1	0.47	0.588
GO:0071310	NUP98	0.65	3.76e-13
GO:0071310	PIK3CA	0.36	0.507
GO:0071310	SSH1	0.33	0.713
GO:0071310	PHIP	0.47	0.331
GO:0071310	PRKCA	0.24	0.781
GO:0071310	PRKDC	0.36	0.732
GO:0071310	KIDINS220	0.39	0.81
GO:0071310	SPTAN1	0.31	0.695
GO:0071310	SPTBN1	0.41	0.642
GO:0071310	THBS1	0.83	0
GO:0071310	TLN1	0.45	0.844
GO:0071310	TPR	0.36	0.709
GO:0071310	NRIP1	0.23	0.79
GO:0071310	USP9X	0.31	0.813
GO:0071310	FZD4	0.32	0.691
GO:0071310	CBL	0.42	0.623
GO:0071310	IQGAP1	0.35	0.797
GO:0071310	ROCK2	0.51	0.00105
GO:0010628	CREBBP	0.39	0.779
GO:0010628	EGFR	0.39	0.7
GO:0010628	FOSB	0.57	0.00324
GO:0010628	NR4A1	0.42	0.186
GO:0010628	TNC	0.45	0.776
GO:0010628	PHIP	0.47	0.331
GO:0010628	PRKDC	0.36	0.732
GO:0010628	CHD8	0.55	0.000505
GO:0010628	BRCA2	0.4	0.424
GO:0010628	THBS1	0.83	0
GO:0010628	NRIP1	0.23	0.79
GO:0010628	FZD4	0.32	0.691
GO:0010628	HELZ2	0.39	0.546
GO:0010628	MED14	0.45	0.364
GO:0010628	ROCK2	0.51	0.00105
GO:0051240	CREBBP	0.39	0.779
GO:0051240	AMOTL1	0.3	0.792
GO:0051240	FBN2	0.62	0.00756
GO:0051240	PRKCA	0.24	0.781
GO:0051240	PRKDC	0.36	0.732
GO:0051240	KIDINS220	0.39	0.81
GO:0051240	SPTBN1	0.41	0.642
GO:0051240	THBS1	0.83	0
GO:0051240	ROCK2	0.51	0.00105
GO:0042221	CENPF	0.43	0.603
GO:0042221	LYST	0.31	0.572
GO:0042221	COL5A1	0.42	0.654
GO:0042221	CREBBP	0.39	0.779
GO:0042221	EGFR	0.39	0.7
GO:0042221	ABCA2	0.35	0.748
GO:0042221	FASN	0.55	1.36e-09
GO:0042221	FBN1	0.31	0.841
GO:0042221	FBN2	0.62	0.00756
GO:0042221	FLNB	0.39	0.794
GO:0042221	UBR2	0.35	0.681
GO:0042221	FOSB	0.57	0.00324
GO:0042221	SLC7A11	0.35	0.822
GO:0042221	TNRC6A	0.35	0.788
GO:0042221	NR4A1	0.42	0.186
GO:0042221	ITGA2	0.37	0.671
GO:0042221	KPNA4	0.32	0.58
GO:0042221	MKI67	0.62	0.000134
GO:0042221	MYH10	0.44	0.823
GO:0042221	NF1	0.47	0.588
GO:0042221	NUP98	0.65	3.76e-13
GO:0042221	PIK3CA	0.36	0.507
GO:0042221	PLXNA1	0.13	0.836
GO:0042221	SSH1	0.33	0.713
GO:0042221	PHIP	0.47	0.331
GO:0042221	PRKCA	0.24	0.781
GO:0042221	PRKDC	0.36	0.732
GO:0042221	KIDINS220	0.39	0.81
GO:0042221	SPTAN1	0.31	0.695
GO:0042221	SPTBN1	0.41	0.642
GO:0042221	BRCA2	0.4	0.424
GO:0042221	THBS1	0.83	0
GO:0042221	TLN1	0.45	0.844
GO:0042221	TPR	0.36	0.709
GO:0042221	NRIP1	0.23	0.79
GO:0042221	USP9X	0.31	0.813
GO:0042221	FZD4	0.32	0.691
GO:0042221	CBL	0.42	0.623
GO:0042221	IQGAP1	0.35	0.797
GO:0042221	ROCK2	0.51	0.00105
GO:0007160	ITGA2	0.37	0.671
GO:0007160	NF1	0.47	0.588
GO:0007160	THBS1	0.83	0
GO:0007160	ROCK2	0.51	0.00105
GO:0008544	COL7A1	1.24	3.41e-35
GO:0008544	EGFR	0.39	0.7
GO:0008544	FLNB	0.39	0.794
GO:0008544	ROCK2	0.51	0.00105
GO:0010595	AMOTL1	0.3	0.792
GO:0010595	PRKCA	0.24	0.781
GO:0010595	THBS1	0.83	0
GO:0010595	ROCK2	0.51	0.00105
GO:0022617	COL5A1	0.42	0.654
GO:0022617	COL7A1	1.24	3.41e-35
GO:0022617	FBN1	0.31	0.841
GO:0022617	FBN2	0.62	0.00756
GO:0043603	FASN	0.55	1.36e-09
GO:0043603	TNRC6A	0.35	0.788
GO:0043603	THBS1	0.83	0
GO:0043603	TPR	0.36	0.709
GO:0045861	CENPF	0.43	0.603
GO:0045861	COL7A1	1.24	3.41e-35
GO:0045861	THBS1	0.83	0
GO:0045861	TPR	0.36	0.709
GO:0031325	CREBBP	0.39	0.779
GO:0031325	EGFR	0.39	0.7
GO:0031325	FASN	0.55	1.36e-09
GO:0031325	FOSB	0.57	0.00324
GO:0031325	NR4A1	0.42	0.186
GO:0031325	NF1	0.47	0.588
GO:0031325	PIK3CA	0.36	0.507
GO:0031325	PHIP	0.47	0.331
GO:0031325	PRKCA	0.24	0.781
GO:0031325	PRKDC	0.36	0.732
GO:0031325	KIDINS220	0.39	0.81
GO:0031325	CHD8	0.55	0.000505
GO:0031325	SPTAN1	0.31	0.695
GO:0031325	SPTBN1	0.41	0.642
GO:0031325	BRCA2	0.4	0.424
GO:0031325	THBS1	0.83	0
GO:0031325	TPR	0.36	0.709
GO:0031325	NRIP1	0.23	0.79
GO:0031325	FZD4	0.32	0.691
GO:0031325	DOCK7	0.35	0.786
GO:0031325	HELZ2	0.39	0.546
GO:0031325	IQGAP1	0.35	0.797
GO:0031325	MED14	0.45	0.364
GO:0031325	ROCK2	0.51	0.00105
GO:0033993	EGFR	0.39	0.7
GO:0033993	ABCA2	0.35	0.748
GO:0033993	FOSB	0.57	0.00324
GO:0033993	NR4A1	0.42	0.186
GO:0033993	PRKCA	0.24	0.781
GO:0033993	BRCA2	0.4	0.424
GO:0033993	THBS1	0.83	0
GO:0033993	NRIP1	0.23	0.79
GO:0033993	FZD4	0.32	0.691
GO:0033993	ROCK2	0.51	0.00105
GO:0044092	CENPF	0.43	0.603
GO:0044092	COL7A1	1.24	3.41e-35
GO:0044092	LMTK2	0.32	0.735
GO:0044092	FLNA	0.45	0.728
GO:0044092	NF1	0.47	0.588
GO:0044092	PRKCA	0.24	0.781
GO:0044092	THBS1	0.83	0
GO:0044092	TPR	0.36	0.709
GO:0044092	IQGAP1	0.35	0.797
GO:0044092	ROCK2	0.51	0.00105
GO:0044237	PRPF8	0.43	0.842
GO:0044237	CENPF	0.43	0.603
GO:0044237	POLQ	0.39	0.211
GO:0044237	MAN1A2	0.31	0.771
GO:0044237	ASCC3	0.46	0.617
GO:0044237	LYST	0.31	0.572
GO:0044237	ALPK2	0.29	0.828
GO:0044237	COL7A1	1.24	3.41e-35
GO:0044237	CREBBP	0.39	0.779
GO:0044237	VCAN	0.45	0.475
GO:0044237	EGFR	0.39	0.7
GO:0044237	ZFC3H1	0.34	0.76
GO:0044237	ABCA2	0.35	0.748
GO:0044237	FASN	0.55	1.36e-09
GO:0044237	LMTK2	0.32	0.735
GO:0044237	FLNA	0.45	0.728
GO:0044237	PDS5A	0.49	0.486
GO:0044237	UBR2	0.35	0.681
GO:0044237	USP24	0.4	0.742
GO:0044237	CBX5	0.39	0.396
GO:0044237	SRRM2	0.27	0.837
GO:0044237	FOSB	0.57	0.00324
GO:0044237	RNF169	0.37	0.721
GO:0044237	DIEXF	0.36	0.497
GO:0044237	AFF4	0.22	0.808
GO:0044237	TNRC6A	0.35	0.788
GO:0044237	GTF3C1	0.39	0.803
