GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0010951	0.00232883092687471	Inf	0.105263157894737	2	2	negative regulation of endopeptidase activity
GO:0052547	0.00232883092687471	Inf	0.105263157894737	2	2	regulation of peptidase activity
GO:0055085	0.00862553256762373	14.4285714285714	0.526315789473684	3	10	transmembrane transport
GO:0045861	0.0133143490153271	26.5	0.210526315789474	2	4	negative regulation of proteolysis
GO:0051346	0.0133143490153271	26.5	0.210526315789474	2	4	negative regulation of hydrolase activity
GO:0043687	0.0216584137171002	17.5	0.263157894736842	2	5	post-translational protein modification
GO:0009266	0.0317057393327675	13	0.315789473684211	2	6	response to temperature stimulus
GO:0034605	0.0317057393327675	13	0.315789473684211	2	6	cellular response to heat
GO:0044723	0.0317057393327675	13	0.315789473684211	2	6	single-organism carbohydrate metabolic process
GO:0044281	0.0353441708479461	7.30769230769231	0.842105263157895	3	16	small molecule metabolic process
